                    Name      Mass  Radius  Orbit  Smass  Distance  Habitable           Method  Year  Unnamed: 9
1112            K2-108 b     59.45    5.28   0.06   1.12    262.40          0  Primary Transit  2016         NaN
1113            K2-110 b     16.69    2.59   0.10   0.74    118.00          0  Primary Transit  2017         NaN
1114            K2-136 b      0.83    0.99   0.07   0.74     59.40          0  Primary Transit  2017         NaN
1115            K2-136 c      5.22    2.99   0.12   0.74     59.40          0  Primary Transit  2017         NaN
1116            K2-136 d       NaN   16.24   0.15   0.74     59.40          0  Primary Transit  2017         NaN
1117            K2-137 b    222.56    0.88   0.01   0.46     95.00          0  Primary Transit  2017         NaN
1118            K2-138 b      4.09    1.57   0.03   0.93    183.00          0  Primary Transit  2018         NaN
1119            K2-138 c      3.02    2.52   0.04   0.93    183.00          0  Primary Transit  2018         NaN
1120            K2-138 d      3.57    2.65   0.06   0.93    183.00          0  Primary Transit  2018         NaN
1121            K2-138 e      7.04    3.29   0.08   0.93    183.00          0  Primary Transit  2018         NaN
1122            K2-138 f      4.29    2.81   0.10   0.93    183.00          0  Primary Transit  2018         NaN
1123            K2-139 b    121.14    9.09   0.18   0.92    152.00          0  Primary Transit  2017         NaN
1124            K2-141 b      5.09    1.51   0.01   0.71     61.00          0  Primary Transit  2017         NaN
1125            K2-141 c      7.31    6.94   0.07   0.71     61.00          0  Primary Transit  2018         NaN
1126            K2-216 b      7.92    1.80   0.03   0.70    115.80          0  Primary Transit  2018         NaN
1131            KELT-1 b   8705.20   12.50   0.02   1.33    263.00          0  Primary Transit  2012         NaN
1132          KELT-2 A b    472.46   14.63   0.05   1.31    128.90          0  Primary Transit  2012         NaN
1133            KELT-3 b    450.84   14.93   0.04   1.28    178.00          0  Primary Transit  2012         NaN
1135            KELT-6 b    140.53   13.22   0.08   1.13       NaN          0  Primary Transit  2013         NaN
1137            KELT-7 b    410.14   17.17   0.04   1.53    129.00          0  Primary Transit  2015         NaN
1138            KELT-8 b    277.88   20.83   0.05   1.21    236.00          0  Primary Transit  2015         NaN
1139           KELT-10 b    215.88   15.67   0.05   1.11    183.00          0  Primary Transit  2015         NaN
1140           KELT-11 b     62.00   15.34   0.06   1.44     98.00          0  Primary Transit  2016         NaN
1141           KELT-15 b    292.50   16.16   0.05   1.18    201.00          0  Primary Transit  2015         NaN
1142           KELT-16 b    874.34   15.85   0.02   1.21    365.00          0  Primary Transit  2016         NaN
1143           KELT-17 b    416.50   17.08   0.05   1.64    210.00          0  Primary Transit  2015         NaN
1144           KELT-18 b    375.17   17.58   0.05   1.52    311.00          0  Primary Transit  2017         NaN
